,X30,X90,X180,X360,X720,X1080,X1800,X2520,X3600
20.07.2011,7.5685,7.8652,8.183,8.5639,8.9837,9.2191,9.513,9.6893,9.8437
21.07.2011,7.5846,7.8882,8.1739,8.4691,8.8495,9.1272,9.5112,9.7382,9.9188
22.07.2011,7.559,7.8226,8.1039,8.4816,8.9219,9.1854,9.5384,9.7773,10.0258
25.07.2011,8.1103,8.2463,8.4409,8.7557,9.1432,9.3764,9.7031,9.9441,10.2217
26.07.2011,8.2684,8.3089,8.4808,8.8555,9.2592,9.4388,9.696,9.9591,10.3703
27.07.2011,8.4666,8.373,8.4526,8.7896,9.1951,9.3754,9.5978,9.7765,10.0103
28.07.2011,8.2333,8.2606,8.3914,8.6842,9.0612,9.2794,9.5689,9.767,9.9752
29.07.2011,8.4167,8.2536,8.2943,8.6122,9.0568,9.2984,9.5883,9.7615,9.9171
1.08.2011,8.5556,8.3506,8.3394,8.6003,8.9985,9.2271,9.5091,9.6756,9.8237
2.08.2011,7.4925,7.9082,8.2714,8.6302,8.9894,9.1893,9.4324,9.5736,9.6866
3.08.2011,7.5458,7.84,8.144,8.498,8.8597,9.0431,9.2618,9.3941,9.514
4.08.2011,7.6436,7.7347,7.9142,8.2455,8.6973,8.9768,9.285,9.3838,9.34
5.08.2011,7.1958,7.4057,7.6937,8.1814,8.7031,8.9566,9.2792,9.5289,9.852
8.08.2011,7.3736,7.4712,7.6477,7.9974,8.5174,8.8692,9.2799,9.4306,9.4212
9.08.2011,7.093,7.3607,7.6458,8.041,8.5491,8.8811,9.2985,9.5229,9.6857
10.08.2011,6.9041,7.1733,7.4737,7.8768,8.3889,8.7188,9.1531,9.4095,9.631
11.08.2011,6.7462,7.0992,7.4375,7.8199,8.2961,8.6223,9.0841,9.3947,9.7206
12.08.2011,6.7702,7.0635,7.3894,7.8556,8.42,8.7631,9.1963,9.4437,9.6424
15.08.2011,6.6334,6.9851,7.3655,7.8623,8.4096,8.7173,9.1277,9.4175,9.7418
16.08.2011,6.6497,6.8974,7.2277,7.7258,8.2879,8.5979,8.9993,9.2783,9.5833
17.08.2011,6.6178,6.9868,7.3277,7.7051,8.1475,8.4404,8.8859,9.2367,9.6707
18.08.2011,6.6553,7.0717,7.4325,7.7879,8.1629,8.4034,8.8026,9.1704,9.6839
19.08.2011,6.6037,6.983,7.3196,7.7007,8.0665,8.267,8.6157,8.9873,9.5627
22.08.2011,6.995,7.2773,7.5363,7.8307,8.1456,8.3429,8.6801,9.0066,9.478
23.08.2011,6.9403,7.2463,7.5152,7.8101,8.1282,8.3295,8.6528,8.9443,9.3447
24.08.2011,7.0483,7.3254,7.5988,7.914,8.2226,8.388,8.6606,8.9339,9.3395
25.08.2011,7.2773,7.4229,7.6097,7.871,8.1611,8.3361,8.6322,8.922,9.3449
26.08.2011,7.0373,7.2978,7.5618,7.894,8.1942,8.3383,8.6054,8.927,9.4547
29.08.2011,7.6437,7.5132,7.5913,7.8883,8.2058,8.3574,8.6174,8.9125,9.39
2.09.2011,7.0397,7.336,7.5462,7.7466,8.0005,8.2067,8.5585,8.8596,9.2518
5.09.2011,6.9158,7.2842,7.5265,7.7401,7.9976,8.2015,8.5477,8.8426,9.224
6.09.2011,6.7336,7.2199,7.5418,7.806,8.0319,8.1771,8.4752,8.8216,9.3691
7.09.2011,6.6449,7.1308,7.4948,7.8339,8.0673,8.1641,8.4198,8.8141,9.5293
8.09.2011,6.8582,7.1881,7.4707,7.7782,8.0475,8.198,8.4991,8.8581,9.44
9.09.2011,6.7951,7.1784,7.4855,7.8045,8.0826,8.2395,8.5532,8.9274,9.5409
12.09.2011,6.7518,7.1703,7.5081,7.862,8.1362,8.265,8.5578,8.9634,9.6739
13.09.2011,6.7278,7.1708,7.5529,7.9657,8.2409,8.3388,8.6368,9.1483,10.1211
14.09.2011,6.896,7.2338,7.5748,8.0015,8.3519,8.504,8.81,9.2172,9.9286
15.09.2011,6.6973,7.147,7.5284,7.9445,8.2854,8.4526,8.7743,9.168,9.8236
16.09.2011,6.7814,7.1927,7.5518,7.9595,8.2984,8.4672,8.8099,9.2455,9.9892
19.09.2011,6.9167,7.2984,7.6573,8.0898,8.4403,8.5972,8.9168,9.3406,10.0792
20.09.2011,6.9977,7.3131,7.6209,7.9363,8.1916,8.3358,8.6388,9.0175,9.6572
21.09.2011,7.0208,7.3667,7.698,8.0232,8.2657,8.4018,8.7489,9.2367,10.1045
22.09.2011,6.9605,7.415,7.8765,8.3241,8.5228,8.5452,8.7892,9.3602,10.5299
23.09.2011,6.9305,7.4051,7.9073,8.4529,8.7572,8.8128,9.0328,9.5081,10.469
26.09.2011,7.146,7.6063,8.0661,8.5335,8.7745,8.8148,9.0386,9.531,10.5306
27.09.2011,6.93,7.4584,7.9291,8.3441,8.6733,8.8651,9.2114,9.5836,10.1642
28.09.2011,6.9796,7.4543,7.8939,8.3048,8.5956,8.7388,9.0659,9.511,10.2882
29.09.2011,7.0833,7.4728,7.8539,8.2327,8.5391,8.7134,9.0541,9.4503,10.0949
30.09.2011,7.0268,7.4107,7.8054,8.2317,8.5618,8.716,9.0477,9.4904,10.2673
3.10.2011,7.0235,7.4938,7.9166,8.2979,8.5735,8.7195,9.0498,9.4868,10.2411
4.10.2011,6.8713,7.4912,8.0307,8.4733,8.71,8.794,9.0725,9.5564,10.4747
5.10.2011,6.6851,7.3792,7.9975,8.4206,8.6459,8.7557,9.0595,9.5146,10.337
6.10.2011,6.7883,7.3209,7.8148,8.2283,8.5334,8.7084,9.0589,9.4727,10.1509
7.10.2011,6.6918,7.2586,7.7551,8.179,8.5117,8.7012,9.0515,9.438,10.0537
10.10.2011,6.6196,7.2471,7.7688,8.1883,8.5064,8.6906,9.035,9.4139,10.0159
11.10.2011,6.4949,7.1451,7.7153,8.2198,8.5721,8.7337,9.0418,9.4286,10.0901
12.10.2011,6.6782,7.2436,7.7505,8.1863,8.4933,8.6442,8.9544,9.3492,10.0276
13.10.2011,6.5332,7.1435,7.6887,8.1752,8.5027,8.6525,8.9685,9.3913,10.1299
14.10.2011,6.773,7.2899,7.733,8.1611,8.5448,8.7594,9.1162,9.4749,10.0195
17.10.2011,6.9196,7.4719,7.9547,8.394,8.7072,8.844,9.1499,9.5857,10.3724
18.10.2011,6.8641,7.5037,8.0109,8.3976,8.686,8.8524,9.1745,9.5465,10.1491
